Area in Sqrt,No.of Bhk,Location,Price
1050,2,Sector 73, 25 L
1050,2,Sector 73, 25 L
650,1,Sector 73, 15 L
1000,2,Sector 73, 25.75 L
1050,2,Sector 73, 25.75 L
1050,2,Sector 73, 25.75 L
1050,2,Sector 73, 26 L
5150,4,Sector 15A, 19 Cr
2150,2,Sector 15A, 8.5 Cr
980,3,Sector 150, 1.02 Cr
983,3,Sector 150, 90 L
930,3,Sector 150, 1.1 Cr
1563,3,Sector 150, 1.42 Cr
1646,3,Sector 150, 2 Cr
2000,3,Sector 150, 1.55 Cr
980,2,Sector 152, 1.02 Cr
1600,3,Sector 150, 1.47 Cr
1400,3,Sector 150, 1.92 Cr
1350,3,Sector 150, 1.25 Cr
2340,4,Sector 150, 2.46 Cr
1800,3,Sector 150, 2.1 Cr
1670,3,Sector 150, 1.9 Cr
1800,4,Sector 150, 2.4 Cr
2350,3,Sector 150, 2.5 Cr
1400,3,Sector 152, 1.34 Cr
1750,3,Sector 150, 1.27 Cr
2000,3,Sector 150, 1.67 Cr
3300,4,Sector 150, 3.4 Cr
1256,3,Sector 150, 1.28 Cr
2548,3,Sector 50, 2.5 Cr
1734,3,Sector 150, 2.02 Cr
1750,3,Sector 150, 1.37 Cr
1750,3,Sector 150, 1.4 Cr
783,3,Sector 150, 1.05 Cr
783,3,Sector 150, 1.05 Cr
1430,3,Sector 150, 1.07 Cr
6000,4,Sector 94, 10.8 Cr
6255,4,Sector 94, 10.57 Cr
1043,1,Sector 150, 1.05 Cr
957,2,Sector 41, 32.1 L
963,2,Sector 41, 32.7 L
962,2,Sector 41, 32.65 L
675,2,Sector 41, 23.25 L
960,2,Sector 41, 32.15 L
650,1,Sector 73, 15 L
1050,2,Sector 73, 25 L
650,1,Sector 73, 15 L
1058,2,Sector 73, 25 L
1050,2,Sector 73, 25.5 L
1050,2,Sector 73, 26.5 L
1475,3,Sector 41, 47.1 L
940,2,Sector 41, 31.21 L
595,1,Sector 50, 18.2 L
1450,3,Sector 62, 68 L
962,2,Sector 41, 32.6 L
1750,3,Sector 150, 1.45 Cr
1250,2,Sector 62, 58 L
1350,2,Sector 62, 62 L
1800,3,Sector 62, 80 L
950,2,Sector 73, 30.8 L
5150,4,Sector 15A, 20 Cr
810,2,Sector 150, 82 L
3501,4,Sector 107, 3.68 Cr
1050,2,Sector 73, 26 L
650,1,Sector 74, 16 L
1050,2,Sector 73, 27.75 L
2548,3,Sector 50, 2.65 Cr
1053,2,Sector 43, 1.22 Cr
1248,3,Sector 43, 3.35 Cr
1314,3,Sector 107, 2.75 Cr
1440,3,Sector 74, 95 L
1025,2,Sector 144, 73.8 L
650,2,Sector 75, 17.85 L
550,1,Sector 73, 13 L
850,2,Sector 73, 18.5 L
950,2,other, 29.9 L
950,2,Sector 93A, 29.5 L
950,2,other, 29.8 L
950,2,other, 29.7 L
950,2,other, 29.6 L
1750,3,Sector 150, 1.45 Cr
1050,2,Sector 73, 28.5 L
1050,2,Sector 73, 29.5 L
950,2,Sector 110, 28 L
1050,2,Sector 73, 25 L
650,1,Sector 73, 15 L
1050,2,Sector 73, 26.5 L
1050,2,Sector 73, 25 L
1050,2,Sector 73, 26.5 L
1050,2,Sector 73, 25 L
5150,8,other, 20 Cr
3650,5,Sector 44, 9.75 Cr
4690,5,Sector 44, 11 Cr
3250,6,Sector 15A, 7.5 Cr
2050,4,Sector 150, 1.98 Cr
1750,3,Sector 62, 76 L
1320,3,Sector 62, 74 L
550,1,Sector 73, 13.5 L
800,2,Sector 75, 20.85 L
850,2,Sector 73, 18.5 L
850,2,Sector 73, 16 L
850,2,Sector 73, 18.5 L
550,1,Sector 73, 13.5 L
800,2,Sector 75, 20.85 L
850,2,Sector 73, 16.5 L
550,1,Sector 73, 13.5 L
800,2,Sector 75, 20.85 L
800,2,Sector 75, 20.85 L
800,2,Sector 75, 20.85 L
550,1,Sector 73, 13 L
950,2,other, 26 L
850,2,Sector 73, 18 L
850,2,Sector 73, 16.5 L
550,1,Sector 73, 13 L
550,1,Sector 73, 13 L
6250,5,Sector 128, 7.65 Cr
3465,4,Sector 128, 4.24 Cr
3325,4,Sector 128, 4.07 Cr
6250,5,Sector 128, 7.65 Cr
3775,4,Sector 128, 4.62 Cr
3465,4,Sector 128, 4.24 Cr
3575,4,Sector 128, 4.37 Cr
3325,4,Sector 128, 4.07 Cr
3775,4,Sector 128, 4.62 Cr
6100,5,Sector 128, 7.47 Cr
3575,4,Sector 128, 4.37 Cr
6100,5,Sector 128, 7.47 Cr
5550,4,Sector 128, 6.79 Cr
5550,4,Sector 128, 6.79 Cr
2700,3,Sector 128, 3.03 Cr
2700,3,Sector 128, 3.03 Cr
2850,3,Sector 128, 3.2 Cr
2850,3,Sector 128, 3.2 Cr
5900,5,Sector 128, 7.22 Cr
5900,5,Sector 128, 7.22 Cr
4700,4,Sector 144, 5.94 Cr
1050,2,Sector 73, 29 L
1050,2,Sector 73, 27 L
1050,2,Sector 73, 28.5 L
1050,2,Sector 73, 26 L
1050,2,Sector 73, 26.5 L
1050,2,Sector 73, 28 L
1050,2,Sector 73, 26.5 L
1050,2,Sector 73, 25 L
1050,2,Sector 73, 26 L
1050,2,Sector 73, 29 L
588,1,other, 17.27 L
950,2,Sector 82, 27.9 L
948,2,other, 27.9 L
580,1,other, 16.95 L
575,1,Sector 75, 16.85 L
590,1,Sector 110, 17.45 L
798,2,Sector 74, 20.85 L
799,2,Sector 74, 20.85 L
1550,3,Sector 62, 70 L
804,2,Sector 152, 82.35 L
1947,3,Sector 150, 1.82 Cr
1440,3,other, 82 L
650,2,Sector 75, 17.85 L
1500,3,Sector 74, 57.51 L
1500,3,Sector 74, 57.53 L
650,1,Sector 73, 15 L
650,1,Sector 73, 15 L
650,1,Sector 73, 15 L
650,1,Sector 73, 15 L
1050,2,Sector 73, 25 L
1050,2,Sector 73, 25.5 L
1050,2,Sector 73, 25.75 L
1050,2,Sector 73, 26 L
1050,2,Sector 73, 26 L
